"Genes","E13.5_Skin_Mes_Ventral_121","E13.5_Skin_Mes_Ventral_122","E13.5_Skin_Mes_Ventral_123","E13.5_Skin_Mes_Ventral_126","E13.5_Skin_Mes_Ventral_128","E13.5_Mammary_Mes_111","E13.5_Mammary_Mes_113","E13.5_Mammary_Mes_114","E13.5_Mammary_Mes_115","E13.5_Mammary_Mes_117","E16.5_Mammary_Mes_41","E16.5_Mammary_Mes_42","E16.5_Mammary_Mes_43","E16.5_Mammary_Mes_46","E16.5_Mammary_Mes_62","E16.5_Fatpad_52","E16.5_Fatpad_53","E16.5_Fatpad_56","E16.5_Fatpad_57","E16.5_Fatpad_58","E13.5_SMG_Mes_1","E13.5_SMG_Mes_2","E13.5_SMG_Mes_3","E13.5_SMG_Mes_5","E13.5_SMG_Mes_6","Markers_of_tissue"
"Bnc1",483.55433366041,429.084922248068,580.070148435094,557.345489480042,553.332549414576,1111.92216658629,1149.59389653203,1206.56711088743,1124.2500743796,1101.22320084622,100.172126789393,159.831326260683,107.818777969556,176.45779253398,190.732687075117,23.618569408424,21.8096124718323,18.5513052493251,25.4275897165664,50.1598165516518,92.1403362961613,52.9311335386029,70.9770405578899,50.6504967827595,47.8198059535319,"E13.5_Mammary_Mes"
"Pex5l",232.020208344307,165.849991469986,238.645602514239,237.248423802358,240.600073171022,1203.92780082461,908.550001333103,827.508461551168,821.407687151967,738.845577414024,284.171191218943,236.808998927935,216.593288676413,213.233987068556,348.56665842919,76.9746267113146,35.492493162364,54.8693977019504,62.8274678581027,54.816853330241,41.9042079701638,52.104986784702,45.8441263661164,41.6727848305187,74.5878384372653,"E13.5_Mammary_Mes"
"Ptx3",217.780548241725,188.664459433549,183.903607223264,187.540410925445,155.503307474972,671.306905656772,749.624325878735,710.526535463404,670.931998691737,665.323752769321,100.055429020272,106.817540462355,110.981422475937,96.5895815544794,119.952164848019,151.115020041321,155.920563617577,212.661758826536,158.433450952173,259.148137993031,301.650447848327,348.275132654219,312.575974816996,326.293896731077,408.555776166793,"E13.5_Mammary_Mes"
"A2m",110.508874251195,24.6088987061938,27.3416616815699,19.674447489298,33.6313144381583,1226.46344198815,1294.57697401851,1420.63828917145,1026.81317873119,1245.26187097526,84.1776156629292,166.280952109012,187.579834910529,524.315329906132,142.232927448086,164.483901576656,385.812573338869,173.2727258166,140.688383047448,284.005537362387,162.275735459321,210.552016054545,195.557599300552,221.634033912942,162.774352184922,"E13.5_Mammary_Mes"
"Sbspon",135.267401706767,184.915168873572,91.5083924001886,149.077212991622,81.5931047441832,369.162593692159,387.311568773796,296.383363213234,423.439039762877,454.221560061271,107.002044525033,88.92870784429,124.77903517825,111.447026863567,96.8800950222816,110.219990572646,98.1432561232454,74.2052209973004,93.5735301569642,56.4297936206083,98.3420897007106,112.478658769531,104.547262443378,103.078203978949,143.459417860596,"E13.5_Mammary_Mes"
"Srd5a2",522.962946756082,475.058306774646,586.274107241886,560.733607957124,645.242023724115,1056.49234771359,1072.7011586137,1065.06795683724,1208.93788233218,1314.24959141759,25.0430316973482,28.8417430846346,38.7663021913009,20.8963175369187,47.4308798546587,0,2.97403806434077,5.3003729283786,3.05131076598796,0,0.885964772078474,0,0.959149196728243,0.888605206715078,0,"E13.5_Mammary_Mes"
"Zfp831",151.243866475283,110.336122863789,169.057877485094,143.148005656728,141.615618578985,555.406785104419,580.018060099974,421.629236054956,458.40189625706,392.60235617699,48.9477437720898,42.0608753317588,60.5723471739077,97.5161485056208,67.6142329843007,22.4938756270705,31.7230726863016,58.3041022121646,40.6841435465062,34.4848738792606,25.6929783902758,13.2327833846507,34.5293710822167,26.6581562014524,22.9136570194007,"E13.5_Mammary_Mes"
"Nrgn",288.480900540226,174.977071860725,247.645143563079,197.366385959895,211.05778676461,634.746089383071,792.142033560014,710.113058916834,953.155670193137,881.671044587071,20.4030672754072,19.1464816113397,27.7453986141963,52.0197788875768,15.0734726129455,24.6385819475663,24.6787984273482,26.3897432903012,24.3072127645138,28.0955281391506,13.2332478574597,10.3531996004642,10.5060046011328,7.96361208830205,7.9362491429558,"E13.5_Mammary_Mes"
"Cbln4",34.0831248395003,34.7354460867483,48.0806807526414,22.8697997203057,16.8813320160379,371.379786447066,684.440296779184,470.389079680359,473.940943587807,426.052781142743,10.2448766034606,14.4208715423173,26.6518327565194,48.7580742528104,10.091676564821,3.37408134406058,4.95673010723462,1.32509323209465,6.10262153197593,4.17998471263765,2.65789431623542,17.0135786374081,5.75489518036946,10.6632624805809,5.97747574419148,"E13.5_Mammary_Mes"
"Pappa2",3052.33455079988,1064.11150275565,1341.52942657946,2049.57785633384,1573.6399154221,14980.9059771604,13835.7609322123,10655.9281434545,11751.4747510618,12082.8176727541,4026.75058214012,4379.58547731673,3738.05960123407,4637.74657896537,4782.16911272286,411.824754664266,463.938759498549,395.683000224718,561.434388622928,1632.55025013301,6.81409599080031,34.0509249896905,6.50909033125591,23.6723260862071,8.11300884253513,"E13.5_Mammary_Mes"
"Scube2",1339.0710014599,1041.83142692666,1116.03551794548,1332.80923933883,936.860544017533,653.466379945638,443.51698565654,541.694975949383,501.636144489228,450.251949215172,309.801299441976,217.011338684447,516.004771781804,534.565433412437,248.013867000559,94.2432699841074,149.816940225647,85.2073290455285,85.8006146841808,137.412072146155,16.256835837881,4.9955357808413,15.2077977603046,7.82738164578759,15.8913405509469,"E13.5_Skin_Mes_Ventral"
"Alx3",656.420172957127,732.082091403913,566.301688327531,574.750633545844,358.357704057453,181.542875013504,222.819533603374,201.796375537025,269.310085757546,205.818502938039,162.36331100577,186.108660969393,139.972064479245,110.897001028584,169.85107509249,13.301814736585,48.7026145475977,44.604780706832,43.4906895236543,55.1411658738906,29.3102054467302,26.6574197304391,6.98086763014478,5.65900584247828,43.3837775748916,"E13.5_Skin_Mes_Ventral"
"Mpped2",935.997897804447,1227.96335678487,596.549169798828,838.458314363498,463.438703216832,329.787328770601,290.569185432088,339.303393428269,259.382532842254,404.875006100754,45.0079506193298,62.8767157637135,40.261018947492,65.1969581260583,66.0658860676745,49.1859764671173,88.5174465999386,63.9118348543124,107.883342223284,42.3889431882909,400.431325172188,187.785618495241,295.645366696868,272.727543559641,362.089891740465,"E13.5_Skin_Mes_Ventral"
"Matn4",325.308681737913,502.43487163439,337.272873279412,415.734607032506,457.076490247846,128.496057357097,129.214522694393,90.6881093006709,206.688224108177,167.574481396645,44.1695168914351,37.3024759684133,33.2621600023636,31.6172068377816,24.9807863461444,28.324955849058,14.9938148063864,14.6717329114599,32.7017284789417,13.5442499916824,29.5694990831787,11.4573089511195,19.0203425932698,32.0150799004962,8.48679099953246,"E13.5_Skin_Mes_Ventral"
"Lin7a",1439.86863414596,995.889521009056,1419.590105092,1512.67893286646,1336.78069085752,491.451469281048,714.201623218971,564.148507026683,694.434004412707,717.325686887866,334.045650844723,282.666664719257,297.853292117324,207.437392243766,416.72528491099,67.7716723582831,110.518057650233,110.925734369081,80.0160674318378,118.320276143779,60.505419762324,66.2728416081328,57.6191072360892,37.7282962002374,93.3108380085321,"E13.5_Skin_Mes_Ventral"
"Sim1",1905.56290199247,1852.45605074252,2127.4156460176,2275.46934449448,2289.96721005073,352.881616421962,393.672544977,374.933238374637,475.228189109277,355.354799503216,388.35741006121,324.005047292395,402.440551247246,304.368185418265,325.772457111455,70.796076298538,135.264147341486,75.9590214367729,72.9420259833843,135.928984437633,5.62759744751016,0,6.63047298100977,10.060903053712,0,"E13.5_Skin_Mes_Ventral"
"Nuak1",1270.01368214904,1220.70624742336,2208.85632350662,1499.32048195126,1438.21108357636,507.016509256496,512.453817672297,546.011997816269,991.840431893667,743.922837599236,239.803090027033,366.387437334788,526.207299835645,445.305030687883,424.878778544204,394.270678497569,621.553110167257,287.873010783421,358.228012008688,266.57964374577,403.259920764504,224.78721036017,319.598602398455,263.977336654566,226.269616852356,"E13.5_Skin_Mes_Ventral"
