"timestamp","ip_address","country","region","city","timezone","user_agent","session_id"
"2025-07-29 16:37:16.572896","127.0.0.1","Local/Unknown","Local/Unknown","Local/Unknown","Unknown","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15","4dad3ac495788e67d06f31209c893ba5"
"1753803660.71476","127.0.0.1","Local/Unknown","Local/Unknown","Local/Unknown","Unknown","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15","961fe028902ac576289376532d2182c6"
"1753803742.12583","127.0.0.1","Local/Unknown","Local/Unknown","Local/Unknown","Unknown","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15","a9dc6b044a012e5c8f877c80520bb97a"
"1753804261.29216","127.0.0.1","Local/Unknown","Local/Unknown","Local/Unknown","Unknown","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15","7497229599a81daeb78ad0bb1a1d11f6"
"1753805270.42045","127.0.0.1","Local/Unknown","Local/Unknown","Local/Unknown","Unknown","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15","2a20958b3b1b833e4476eb5c4d557fbf"
"1753805290.5723","127.0.0.1","Local/Unknown","Local/Unknown","Local/Unknown","Unknown","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15","44d41cefead29ad57082c9e01eeb16fa"
"1753805544.47094","127.0.0.1","Local/Unknown","Local/Unknown","Local/Unknown","Unknown","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15","e81818c5dc122e6c3d3c67983811ed4e"
"1753805741.10438","127.0.0.1","Local/Unknown","Local/Unknown","Local/Unknown","Unknown","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15","7ae6ee1e2144e223903fb82492923099"
"1753805744.55988","127.0.0.1","Local/Unknown","Local/Unknown","Local/Unknown","Unknown","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15","65de6679b09f6b4335b7faad3589e542"
"1753805783.12558","127.0.0.1","Local/Unknown","Local/Unknown","Local/Unknown","Unknown","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15","b82c6d4d13923fbf8115fca1cf2f355e"
"1753805859.10909","127.0.0.1","Local/Unknown","Local/Unknown","Local/Unknown","Unknown","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15","0ab614dddb98c21a825db0548f2285f3"
"1753806141.54407","127.0.0.1","Local/Unknown","Local/Unknown","Local/Unknown","Unknown","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15","a7ce3041a7cb60ba6121cd954ceeeda4"
"2025-07-29 17:25:31","127.0.0.1","Local/Unknown","Local/Unknown","Local/Unknown","Unknown","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15","4b68743bf6d42f15731f98fba85912c1"
"2025-07-29 17:25:42","127.0.0.1","Local/Unknown","Local/Unknown","Local/Unknown","Unknown","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15","bd781ddfec6e434ddc012e09af8cba0a"
"2025-07-29 17:27:31","127.0.0.1","Local/Unknown","Local/Unknown","Local/Unknown","Unknown","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15","53315f9ed6efeaff4648ef49d9866973"
"2025-07-29 17:31:48","127.0.0.1","Local/Unknown","Local/Unknown","Local/Unknown","Unknown","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15","577588a9521e521368ebdad7780cd15e"
"2025-07-29 17:32:30","127.0.0.1","Local/Unknown","Local/Unknown","Local/Unknown","Unknown","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15","8e6896edfe33425f39d1529dd8ba4b2c"
"2025-07-29 17:35:11","127.0.0.1","Local/Unknown","Local/Unknown","Local/Unknown","Unknown","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15","57afbaed451900184df7d0eb40ec7d0c"
"2025-07-29 17:38:09","127.0.0.1","Local/Unknown","Local/Unknown","Local/Unknown","Unknown","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15","895af598eb4e40d825a699bd252c4197"
"2025-07-29 17:42:09","127.0.0.1","Local/Unknown","Local/Unknown","Local/Unknown","Unknown","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15","6c0455487714fb23b8b76db826963de7"
