"Ensembl_gene_ID","baseMean_all_samples","log2FoldChange","lfcSE","pvalue","padj","external_gene_name","gene_biotype","percentage_gene_gc_content","entrezgene_id","baseMean_selected_samples"
"ENSMUSG00000000001",4416.51554985358,-0.00545859200574696,0.199439601617908,0.975415622582419,0.988803473845868,"Gnai3","protein_coding",41.65,14679,4367.79963301552
"ENSMUSG00000000028",804.034419232918,1.88887667424926,0.189041040045947,3.28144856630648e-24,1.7264169685705e-22,"Cdc45","protein_coding",46.23,12544,828.233977917606
"ENSMUSG00000000037",242.287814535974,-0.64521822795129,0.455730260006005,0.114156787317803,0.204721764868525,"Scml2","protein_coding",39.03,107815,247.473284890308
"ENSMUSG00000000049",0.460782242855462,0.143644428212021,1.02499208607407,0.681030820872372,NA,"Apoh","protein_coding",43.83,11818,0.281911606468098
"ENSMUSG00000000056",2154.15130047339,-1.28960952495707,0.219135701990014,1.44886075844149e-09,1.77153532575973e-08,"Narf","protein_coding",46.96,67608,2225.28969943957
"ENSMUSG00000000058",792.40135438043,0.675909469969209,0.308225435922318,0.0206136145702801,0.0509844323300386,"Cav2","protein_coding",39.77,12390,680.994118825711
"ENSMUSG00000000078",2434.4624435764,1.61029000942665,0.373413381525505,4.1918295083803e-06,2.88523041443617e-05,"Klf6","protein_coding",43.44,23849,2110.05498205769
"ENSMUSG00000000085",2272.35334721471,-1.67883455143515,0.222189524857145,1.1821961447016e-14,2.6710380133172e-13,"Scmh1","protein_coding",39.89,29871,2388.16405641947
"ENSMUSG00000000088",1929.23738322903,1.55298436612492,0.170026275186957,2.07812013665068e-20,8.09017002035636e-19,"Cox5a","protein_coding",42.75,12858,2093.60705847945
"ENSMUSG00000000093",345.789746184139,0.472551386149558,0.499059683428064,0.275121122579807,0.403157755147586,"Tbx2","protein_coding",55.36,21385,64.2189047685301
"ENSMUSG00000000094",3.66422564800501,0.136185533490288,1.00830286857113,0.831310340225573,0.901569503793728,"Tbx4","protein_coding",50.74,21387,0.0976367778834208
"ENSMUSG00000000120",322.927013761849,-2.56397186824385,0.364372522767742,3.05582764016574e-13,5.99254634355825e-12,"Ngfr","protein_coding",53.62,18053,225.510894466071
"ENSMUSG00000000125",1515.29029907445,-6.0473502859362,0.437266497776945,1.57459496733436e-44,3.53592582054816e-42,"Wnt3","protein_coding",52.32,22415,2085.35360380925
"ENSMUSG00000000126",72.7178016973309,-1.3697687680275,0.93900795872939,0.0369527288900658,0.0825986343507734,"Wnt9a","protein_coding",52.53,216795,9.77042628231616
"ENSMUSG00000000127",1209.88132030567,-0.292699645829153,0.181158994849975,0.0997100631918974,0.184029377930801,"Fer","protein_coding",40.27,14158,1044.92030152422
"ENSMUSG00000000131",3826.64721932339,-0.315226947672212,0.224411953094098,0.145947159726439,0.247875945323985,"Xpo6","protein_coding",43.53,74204,3721.72183973083
"ENSMUSG00000000134",1440.40150840193,0.158246565137578,0.203830531939064,0.429522076717165,0.563856813336414,"Tfe3","protein_coding",51.75,209446,1458.03740344035
"ENSMUSG00000000142",7309.07486503975,-3.58350644944775,0.252472555768814,1.12482474994205e-46,3.00181491962796e-44,"Axin2","protein_coding",53.94,12006,5915.01159406766
"ENSMUSG00000000148",645.376926099082,-0.531400786566376,0.1676965609103,0.00129573370760667,0.00477288267490882,"Brat1","protein_coding",51.56,231841,688.271680567894
