,Row.names,baseMean_all_samples,log2FoldChange,lfcSE,pvalue,padj,external_gene_name,gene_biotype,percentage_gene_gc_content,entrezgene_id,baseMean_selected_samples
1,ENSMUSG00000000001,4416.51554985358,0.143359439430993,0.188436725915193,0.444302128622846,0.603791837377203,Gnai3,protein_coding,41.65,14679,4591.53593769958
2,ENSMUSG00000000028,804.034419232918,-0.887710543090486,0.174890253195333,2.4420110673464e-07,2.28607990819099e-06,Cdc45,protein_coding,46.23,12544,1003.03005340486
3,ENSMUSG00000000037,242.287814535974,0.468341272945576,0.426882149679591,0.227228805354505,0.3790028280614,Scml2,protein_coding,39.03,107815,225.748968299222
4,ENSMUSG00000000049,0.460782242855462,0.0626899698766208,0.990349468549421,0.971113468796303,NA,Apoh,protein_coding,43.83,11818,0.829408037139831
5,ENSMUSG00000000056,2154.15130047339,0.825687621149979,0.206013611249862,4.06799611689162e-05,0.000250193989634076,Narf,protein_coding,46.96,67608,1775.32282337401
6,ENSMUSG00000000058,792.40135438043,0.386714322630303,0.286533110206144,0.159598371775996,0.293035278590416,Cav2,protein_coding,39.77,12390,991.102778966476
7,ENSMUSG00000000078,2434.4624435764,0.13409151619403,0.330725230245604,0.669986522973129,0.792137779629934,Klf6,protein_coding,43.44,23849,3405.292323378
8,ENSMUSG00000000085,2272.35334721471,1.04164472696811,0.208767516245923,3.46235052832726e-07,3.16405571357907e-06,Scmh1,protein_coding,39.89,29871,1728.34320916872
9,ENSMUSG00000000088,1929.23738322903,-0.732120770880656,0.158606671323773,2.77760063745945e-06,2.16907286421451e-05,Cox5a,protein_coding,42.75,12858,2499.69447132879
10,ENSMUSG00000000093,345.789746184139,3.03375118756905,0.515814584193349,4.2857736230891e-10,6.08467505748363e-09,Tbx2,protein_coding,55.36,21385,386.522465638984
11,ENSMUSG00000000094,3.66422564800501,0.446950939451838,1.15483068328744,0.0675220839339621,0.150873881028999,Tbx4,protein_coding,50.74,21387,5.17537303900457
12,ENSMUSG00000000120,322.927013761849,3.47193201517868,0.344012969176016,5.94386762088688e-25,3.34710637220217e-23,Ngfr,protein_coding,53.62,18053,390.331196577625
13,ENSMUSG00000000125,1515.29029907445,3.64529875043627,0.416581745871376,1.81049980775447e-19,6.94552988749808e-18,Wnt3,protein_coding,52.32,22415,423.795977936885
14,ENSMUSG00000000126,72.7178016973309,5.13227980487028,0.917552673912592,1.22646130107856e-09,1.65572275645606e-08,Wnt9a,protein_coding,52.53,216795,86.4001597843463
15,ENSMUSG00000000127,1209.88132030567,0.900023409221178,0.172287337472023,1.17585998484862e-07,1.15787624390388e-06,Fer,protein_coding,40.27,14158,1351.19423338201
16,ENSMUSG00000000131,3826.64721932339,0.130295607192347,0.211743176126317,0.535658735041623,0.685497251168007,Xpo6,protein_coding,43.53,74204,3453.93758824347
17,ENSMUSG00000000134,1440.40150840193,0.133425344094552,0.192699372717178,0.451546246787318,0.610147163187508,Tfe3,protein_coding,51.75,209446,1623.95527304872
18,ENSMUSG00000000142,7309.07486503975,2.89820718449795,0.238419381114471,6.28222954001369e-35,6.64833188217311e-33,Axin2,protein_coding,53.94,12006,3851.12823421568
19,ENSMUSG00000000148,645.376926099082,-0.099492316055627,0.158846227623679,0.525511472917078,0.676460556609233,Brat1,protein_coding,51.56,231841,540.824268709679
20,ENSMUSG00000000149,3266.76488674089,0.00361989292475867,0.208260081451262,0.989985532042853,0.996751795452846,Gna12,protein_coding,47.49,14673,3204.65353035099
21,ENSMUSG00000000154,64.4524119464374,1.33887725457833,0.398976373127535,0.000287272246004045,0.0014556497352555,Slc22a18,protein_coding,52.01,18400,41.6287614216886
22,ENSMUSG00000000159,0.323129221103736,0.209824390776732,1.04315047783475,0.510186840990623,NA,Igsf5,protein_coding,44.82,72058,0.581632597986725
23,ENSMUSG00000000167,63.5897385624885,-0.00936289215301844,0.571551890928311,0.981023058114461,0.99190416165823,Pih1d2,protein_coding,43.52,72614,55.4944218624522
24,ENSMUSG00000000168,1627.21876327142,-1.11509222740274,0.226858697489048,4.05427772141032e-07,3.66317320716632e-06,Dlat,protein_coding,44.1,235339,1736.76116784449
25,ENSMUSG00000000171,1653.91276228921,-1.13504008010762,0.164426592460203,2.7211268357086e-12,5.17632536701841e-11,Sdhd,protein_coding,45.09,66925,2092.51046458489
26,ENSMUSG00000000182,0.177117708053854,0.18986644662044,1.03437369662335,0.66217401097589,NA,Fgf23,protein_coding,46.08,64654,0.318811874496938
27,ENSMUSG00000000184,65319.9089505225,-0.0575892246435712,0.260059789361725,0.815811650080461,0.891693222804156,Ccnd2,protein_coding,49.26,12444,47159.11548743
28,ENSMUSG00000000194,2503.6200751704,0.52562479055366,0.432859663706816,0.174210701688454,0.312449192645485,Gpr107,protein_coding,49.01,277463,1859.37989200728
29,ENSMUSG00000000197,1045.59606194764,-2.48025579217271,0.361586315424209,9.63919895738149e-13,1.94623036843446e-11,Nalcn,protein_coding,38.67,338370,612.376160587623
30,ENSMUSG00000000202,1.920999793056,-0.176540642283789,1.0340922628159,0.309582937350097,NA,Btbd17,protein_coding,56.02,72014,3.45779962750079
31,ENSMUSG00000000214,32.7604749070863,10.7477720550037,3.02869506252466,7.07629562915203e-12,1.2724893331563e-10,Th,protein_coding,51.59,21823,56.0517952130561
32,ENSMUSG00000000216,1573.19843150109,4.55336736445259,0.579940236798067,2.96300948210251e-16,8.68803449099294e-15,Scnn1g,protein_coding,45.71,20278,1955.26333735742
33,ENSMUSG00000000223,267.174509641878,-1.82280765437561,0.493852925678037,4.63522274348939e-05,0.000281693041579583,Drp2,protein_coding,44.54,13497,94.7705294028755
34,ENSMUSG00000000244,1.96906817552501,-0.213137819155891,1.01405209796809,0.435160024445205,NA,Tspan32,protein_coding,53.07,27027,2.93617448848216
35,ENSMUSG00000000247,1827.8432748466,9.84661280699541,0.576146871755486,6.7881980077401e-67,4.3102716591216e-64,Lhx2,protein_coding,50,16870,2509.12911240039
36,ENSMUSG00000000248,19.1227509599201,4.69322026734678,1.7597597470009,0.000293598867488951,0.00148443974353145,Clec2g,protein_coding,41.63,70809,32.2437560022912
37,ENSMUSG00000000253,203.428108038649,3.47555238293643,0.553511637476708,2.56026960809931e-11,4.27811293680043e-10,Gmpr,protein_coding,48.23,66355,214.705596460192
38,ENSMUSG00000000263,9.33607218672036,7.93534175550669,3.44795579216711,0.000222455601970185,0.00115976711627378,Glra1,protein_coding,45.7,14654,15.6872459988791
39,ENSMUSG00000000266,960.069784029481,1.76086988191787,0.317715213817143,6.84901407307164e-09,8.28087624041636e-08,Mid2,protein_coding,40.18,23947,1105.8342386383
40,ENSMUSG00000000275,909.916125806853,-0.575336476081559,0.279707173432483,0.0307539058644545,0.0807618971175221,Trim25,protein_coding,48.45,217069,1216.74991354778
41,ENSMUSG00000000276,576.728245147637,-0.419320141243864,0.237076026518292,0.0681936800234223,0.151987221490111,Dgke,protein_coding,43.85,56077,542.550495350691
42,ENSMUSG00000000278,793.275138268057,0.186951518781572,0.20455420519956,0.353616621173438,0.517117441847244,Scpep1,protein_coding,47.22,74617,948.23790174784
43,ENSMUSG00000000282,1491.37165381738,0.362317351077169,0.254941118747179,0.142374644951051,0.269295017446525,Mnt,protein_coding,56.49,17428,1385.86278329327
44,ENSMUSG00000000290,6.15414755366291,-0.822703750638347,1.61580250192223,0.00459998920350132,0.0166478382848414,Itgb2,protein_coding,50.26,16414,9.77519750478274
45,ENSMUSG00000000295,735.180556938346,0.371874339532227,0.220995513974586,0.0849733521048159,0.180660351652013,Hddc2,protein_coding,42.09,69692,872.17824259716
46,ENSMUSG00000000296,395.73219594204,0.86418480821751,0.346550322279769,0.00792013448707347,0.0262735544482595,Tpd52l1,protein_coding,40.19,21987,540.58428257665
47,ENSMUSG00000000301,59.2718706316254,0.0910804843714609,0.5542904294092,0.849133501762062,0.911876380792361,Pemt,protein_coding,49.74,18618,67.5046613554382
48,ENSMUSG00000000303,12156.8672827775,0.845662226317015,0.153917793548049,2.70473169102748e-08,2.96811259586293e-07,Cdh1,protein_coding,47.03,12550,14490.3301360358
49,ENSMUSG00000000305,318.052414995458,1.53724437656607,0.688466561807177,0.00574726052203871,0.0200625697161746,Cdh4,protein_coding,49.53,12561,105.98990601422
50,ENSMUSG00000000308,216.210531544368,2.90012747216895,0.585831020785242,7.88706337396119e-08,8.00178429576426e-07,Ckmt1,protein_coding,48.09,12716,332.140461674831
51,ENSMUSG00000000317,37.8342108630258,-0.977134489363583,0.766295495742418,0.0841487135440421,0.179155325609896,Bcl6b,protein_coding,51.38,12029,36.4898735607503
52,ENSMUSG00000000320,828.587670425355,0.548016081018344,0.247490270007955,0.0233247874777581,0.0643931988928692,Alox12,protein_coding,48.86,11684,1175.62590977278
53,ENSMUSG00000000326,1642.42398234015,0.991416584197402,0.210599398646415,1.45864718140013e-06,1.20069419751014e-05,Comt,protein_coding,48.68,12846,2065.07943322973
54,ENSMUSG00000000339,1056.39870743155,-0.582793779726215,0.246860219039191,0.0143994925072773,0.0435769835480039,Rtca,protein_coding,43.09,66368,1055.34927857249
55,ENSMUSG00000000340,849.95307331719,0.521733092558701,0.254646339429159,0.0357200692939647,0.091189429638024,Dbt,protein_coding,44.05,13171,923.383207084254
56,ENSMUSG00000000346,3438.14079286991,0.377877436922466,0.132641934435146,0.00423468544156337,0.015527179952399,Dazap2,protein_coding,50.58,23994,3942.14452622188
